configuration,hit_rate_at_1,hit_rate_at_5,recall_at_5,mrr,mean_latency_ms,p95_latency_ms,error_rate
L0_DENSE,0.875,1.0,1.0,0.928125,389.3337937497563,266.50579999841284,0.0
L1_BM25_WHITESPACE,0.40625,0.96875,0.96875,0.6432291666666666,0.2845187509592506,0.3361999988555908,0.0
H1_DENSE_WHITESPACE_RRF,0.6875,0.96875,0.96875,0.8273809523809523,233.67836562556477,261.1711000063224,0.0
L2_BM25_UNDERTHESEA,0.59375,1.0,1.0,0.7734375,7.151618750413036,1.5397999959532171,0.0
H2_DENSE_UNDERTHESEA_RRF,0.8125,1.0,1.0,0.9010416666666666,234.71567812703142,259.09979999414645,0.0
